ghi,hour,etr,dhi,dni,pressure,wind_dir,wind_speed,gh_lx,dn_lx,dh_lx,lx_combined
0,1,0,0,0,989,270,4.6,0,0,0,0
0,2,0,0,0,989,270,4.6,0,0,0,0
0,3,0,0,0,990,230,3.1,0,0,0,0
0,4,0,0,0,990,250,2.6,0,0,0,0
0,5,0,0,0,991,250,3.6,0,0,0,0
0,6,0,0,0,991,250,2.6,0,0,0,0
0,7,0,0,0,992,270,2.1,0,0,0,0
8,8,54,5,102,993,220,1.5,12,56,9,77
171,9,266,109,328,994,240,2.1,174,236,129,539
228,10,454,153,231,995,270,4.1,237,213,169,619
417,11,589,138,665,995,270,4.1,423,624,162,1209
467,12,660,99,784,995,280,4.1,492,769,131,1392
475,13,664,173,640,995,270,4.1,496,634,197,1327
223,14,598,190,77,995,290,3.1,244,75,212,531
307,15,469,140,501,994,290,2.6,313,455,162,930
94,16,284,77,83,993,50,0.5,102,65,89,256
6,17,69,6,0,994,90,0.5,7,0,7,14
0,18,0,0,0,994,0,0.0,0,0,0,0
0,19,0,0,0,994,80,0.5,0,0,0,0
0,20,0,0,0,995,20,0.5,0,0,0,0
0,21,0,0,0,994,10,0.5,0,0,0,0
0,22,0,0,0,994,10,1.5,0,0,0,0
0,23,0,0,0,994,0,0.0,0,0,0,0
0,0,0,0,0,994,0,0.0,0,0,0,0
0,1,0,0,0,994,190,3.6,0,0,0,0
0,2,0,0,0,994,190,3.6,0,0,0,0
0,3,0,0,0,994,160,3.6,0,0,0,0
0,4,0,0,0,994,170,3.1,0,0,0,0
0,5,0,0,0,993,150,3.1,0,0,0,0
0,6,0,0,0,992,150,4.6,0,0,0,0
0,7,0,0,0,992,150,6.2,0,0,0,0
2,8,54,2,0,991,150,5.1,3,0,3,6
34,9,266,34,0,991,150,5.7,40,0,40,80
55,10,454,55,0,991,150,6.2,66,0,66,132
167,11,588,164,6,990,160,5.1,188,5,186,379
215,12,659,204,24,989,170,4.6,242,20,233,495
89,13,662,89,0,987,160,4.1,107,0,107,214
183,14,596,170,30,986,150,2.6,201,29,188,418
48,15,466,48,0,986,160,4.6,58,0,58,116
28,16,281,28,0,987,230,2.6,34,0,34,68
4,17,66,4,0,988,210,2.1,5,0,5,10
0,18,0,0,0,988,220,2.1,0,0,0,0
0,19,0,0,0,989,220,2.1,0,0,0,0
0,20,0,0,0,989,230,2.1,0,0,0,0
0,21,0,0,0,989,230,2.6,0,0,0,0
0,22,0,0,0,989,230,3.1,0,0,0,0
0,23,0,0,0,989,240,3.1,0,0,0,0
0,0,0,0,0,989,250,3.6,0,0,0,0
0,1,0,0,0,989,310,5.1,0,0,0,0
0,2,0,0,0,989,320,5.7,0,0,0,0
0,3,0,0,0,990,300,4.6,0,0,0,0
0,4,0,0,0,990,320,4.1,0,0,0,0
0,5,0,0,0,990,330,4.6,0,0,0,0
0,6,0,0,0,991,330,2.1,0,0,0,0
0,7,0,0,0,991,310,2.6,0,0,0,0
2,8,55,2,0,992,320,3.1,3,0,3,6
34,9,267,34,0,993,330,2.6,40,0,40,80
48,10,454,48,0,994,330,2.6,58,0,58,116
70,11,588,70,0,994,320,2.6,84,0,84,168
80,12,658,80,0,994,330,2.6,97,0,97,194
136,13,660,136,0,993,340,2.6,158,0,158,316
68,14,593,68,0,993,10,0.5,82,0,82,164
